"date_time","hosts_throughput_limit"
"2024-04-30 18:54:48.342173","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 5000.0}]"
"2024-04-30 18:54:54.882322","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 5000.0}]"
"2024-04-30 18:55:01.070567","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 5000.0}]"
"2024-04-30 18:55:07.581638","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 5000.0}]"
"2024-04-30 18:55:14.390335","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 5000.0}]"
"2024-04-30 19:06:23.025605","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 21281.097178189753}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:06:35.72412","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 21919.530093535446}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 18:55:20.16555","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 5000.0}]"
"2024-04-30 19:06:49.192976","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 22577.11599634151}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15913.265597045898}]"
"2024-04-30 19:06:54.686635","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 22577.11599634151}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:07:20.052128","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 22577.11599634151}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:07:26.624338","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 22577.11599634151}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:07:32.862923","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 23254.429476231755}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:07:51.591067","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 23254.429476231755}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 11:46:46.503233","[{""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15000}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5000}]"
